[2310, 2280, 3705, 4260, 2214, 900, 2520, 3264, 363, 1296, 702, 2970, 1710, 2808, 4494, 828, 1188, 2436, 2457, 6375]
[3990, 228, 1950, 3621, 5904, 6000, 2205, 1632, 1452, 288, 3159, 2574, 5130, 1872, 963, 2277, 1386, 6264, 945, 2250]
[3990, 1140, 3315, 2982, 5535, 600, 3150, 3672, 4356, 2880, 2106, 2574, 5472, 156, 963, 1656, 891, 3828, 756, 2625]
[3360, 2964, 195, 1278, 4059, 6000, 945, 816, 2541, 2736, 702, 2772, 1710, 1872, 2889, 3105, 1683, 2784, 1890, 6750]
[1890, 2508, 1365, 2769, 7380, 5100, 5670, 816, 726, 2304, 5265, 594, 342, 780, 1926, 2070, 1188, 2784, 3591, 5250]
[3780, 4332, 2340, 2769, 2952, 2700, 5355, 3060, 5808, 1008, 2106, 792, 3762, 3120, 963, 207, 198, 3480, 945, 5250]
[2730, 3648, 3705, 4260, 2214, 3600, 2835, 204, 5445, 1584, 2808, 1386, 1368, 468, 642, 3726, 990, 1740, 3213, 5250]
[1260, 684, 390, 1704, 5166, 4800, 1260, 3468, 5445, 1584, 6669, 990, 4104, 1092, 5778, 2691, 1980, 3480, 189, 3375]
[630, 4332, 2145, 3621, 4797, 3000, 315, 408, 2541, 1152, 4212, 2772, 6840, 936, 1605, 3312, 1782, 1392, 2835, 3375]
[630, 228, 1950, 1704, 738, 4500, 5040, 816, 5082, 1728, 2457, 990, 3078, 936, 3531, 2691, 1881, 6264, 3780, 6375]
[3150, 2736, 1560, 1065, 2583, 3000, 5670, 816, 5808, 2880, 6669, 396, 3078, 936, 4494, 2277, 1287, 5916, 567, 375]
[3780, 2964, 585, 1278, 3690, 5100, 1260, 1428, 5445, 2736, 3861, 3168, 1710, 3120, 2889, 2484, 99, 4872, 378, 3000]
[2730, 2052, 390, 3408, 7011, 5400, 3465, 2040, 5445, 144, 1755, 3366, 4104, 2184, 963, 1242, 1980, 1392, 1512, 2625]
[2100, 4560, 2145, 426, 3321, 5400, 1260, 2856, 363, 2448, 5265, 2376, 2394, 468, 1605, 3933, 1584, 2088, 1512, 4875]
[3990, 1368, 2535, 1704, 3690, 2700, 630, 816, 3993, 720, 4212, 3366, 4788, 156, 4815, 3726, 1584, 6960, 1323, 1125]
[1890, 4560, 585, 1491, 7011, 1200, 1575, 2244, 4356, 2016, 4563, 1584, 6156, 2340, 5136, 414, 1683, 348, 1890, 2250]
[2520, 684, 1950, 3195, 2952, 5700, 315, 3264, 2541, 2880, 1404, 3366, 3762, 780, 642, 1242, 1287, 4872, 1701, 6750]
[1890, 3876, 195, 4260, 738, 3300, 5040, 1632, 3630, 2016, 6669, 1188, 1710, 468, 3852, 3726, 396, 2436, 2457, 5625]
[1890, 456, 585, 213, 5166, 5100, 2205, 2652, 4356, 1584, 1404, 3762, 6156, 1248, 1926, 2070, 1980, 5220, 945, 6000]
[2940, 684, 2925, 426, 4428, 1800, 5040, 4080, 1452, 2736, 3510, 1386, 5814, 780, 321, 2691, 1782, 2784, 2079, 3375]
